facility_id,measure_id,value,footnote,start_date,end_date
40026,MSPB-1,1.105188,,01/01/2024,12/31/2024
40027,MSPB-1,0.994297,,01/01/2024,12/31/2024
40029,MSPB-1,1.033192,,01/01/2024,12/31/2024
40036,MSPB-1,1.053887,,01/01/2024,12/31/2024
40039,MSPB-1,1.12353,,01/01/2024,12/31/2024
40041,MSPB-1,1.04318,,01/01/2024,12/31/2024
40050,MSPB-1,1.043269,,01/01/2024,12/31/2024
40051,MSPB-1,1.002629,,01/01/2024,12/31/2024
40055,MSPB-1,1.007464,,01/01/2024,12/31/2024
40062,MSPB-1,1.073257,,01/01/2024,12/31/2024
40067,MSPB-1,1.158048,,01/01/2024,12/31/2024
40069,MSPB-1,1.163764,,01/01/2024,12/31/2024
40071,MSPB-1,1.096407,,01/01/2024,12/31/2024
40072,MSPB-1,0.976296,,01/01/2024,12/31/2024
40076,MSPB-1,1.010097,,01/01/2024,12/31/2024
40078,MSPB-1,1.178174,,01/01/2024,12/31/2024
40084,MSPB-1,1.008176,,01/01/2024,12/31/2024
40088,MSPB-1,1.102475,,01/01/2024,12/31/2024
40114,MSPB-1,1.091877,,01/01/2024,12/31/2024
40118,MSPB-1,1.009848,,01/01/2024,12/31/2024
40119,MSPB-1,0.991929,,01/01/2024,12/31/2024
40134,MSPB-1,0.936721,,01/01/2024,12/31/2024
40137,MSPB-1,1.110306,,01/01/2024,12/31/2024
40147,MSPB-1,0.912927,,01/01/2024,12/31/2024
40153,MSPB-1,1.174955,,01/01/2024,12/31/2024
40154,MSPB-1,1.080483,,01/01/2024,12/31/2024
40156,MSPB-1,0.954977,,01/01/2024,12/31/2024
40161,MSPB-1,0.987188,,01/01/2024,12/31/2024
40164,MSPB-1,0.821937,,01/01/2024,12/31/2024
50002,MSPB-1,1.120877,,01/01/2024,12/31/2024
50006,MSPB-1,0.961822,,01/01/2024,12/31/2024
50007,MSPB-1,0.96998,,01/01/2024,12/31/2024
50008,MSPB-1,0.98762,,01/01/2024,12/31/2024
50009,MSPB-1,0.980383,,01/01/2024,12/31/2024
50013,MSPB-1,1.03966,,01/01/2024,12/31/2024
50014,MSPB-1,0.961164,,01/01/2024,12/31/2024
50017,MSPB-1,1.004043,,01/01/2024,12/31/2024
50022,MSPB-1,1.121934,,01/01/2024,12/31/2024
50024,MSPB-1,1.069728,,01/01/2024,12/31/2024
50025,MSPB-1,0.990076,,01/01/2024,12/31/2024
50026,MSPB-1,1.077011,,01/01/2024,12/31/2024
50028,MSPB-1,0.907021,,01/01/2024,12/31/2024
50030,MSPB-1,0.879148,,01/01/2024,12/31/2024
50036,MSPB-1,1.053897,,01/01/2024,12/31/2024
50038,MSPB-1,1.050383,,01/01/2024,12/31/2024
50039,MSPB-1,0.989453,,01/01/2024,12/31/2024
50040,MSPB-1,0.833633,,01/01/2024,12/31/2024
50042,MSPB-1,0.9478,,01/01/2024,12/31/2024
50043,MSPB-1,1.007919,,01/01/2024,12/31/2024
50045,MSPB-1,0.965063,,01/01/2024,12/31/2024
50047,MSPB-1,0.946303,,01/01/2024,12/31/2024
50054,MSPB-1,1.071002,,01/01/2024,12/31/2024
50055,MSPB-1,0.925962,,01/01/2024,12/31/2024
50056,MSPB-1,1.07138,,01/01/2024,12/31/2024
50057,MSPB-1,1.024806,,01/01/2024,12/31/2024
50058,MSPB-1,1.113103,,01/01/2024,12/31/2024
50060,MSPB-1,1.006035,,01/01/2024,12/31/2024
50063,MSPB-1,1.176655,,01/01/2024,12/31/2024
50067,MSPB-1,0.827078,,01/01/2024,12/31/2024
50069,MSPB-1,1.000694,,01/01/2024,12/31/2024
50070,MSPB-1,0.851097,,01/01/2024,12/31/2024
50071,MSPB-1,1.008519,,01/01/2024,12/31/2024
50072,MSPB-1,0.87984,,01/01/2024,12/31/2024
50073,MSPB-1,0.868594,,01/01/2024,12/31/2024
50075,MSPB-1,0.943071,,01/01/2024,12/31/2024
50076,MSPB-1,0.856735,,01/01/2024,12/31/2024
50077,MSPB-1,1.042754,,01/01/2024,12/31/2024
50078,MSPB-1,0.977394,,01/01/2024,12/31/2024
50082,MSPB-1,1.016506,,01/01/2024,12/31/2024
50084,MSPB-1,0.994819,,01/01/2024,12/31/2024
50089,MSPB-1,1.155777,,01/01/2024,12/31/2024
50090,MSPB-1,1.011496,,01/01/2024,12/31/2024
50091,MSPB-1,1.07897,,01/01/2024,12/31/2024
50093,MSPB-1,0.99263,,01/01/2024,12/31/2024
50099,MSPB-1,1.062539,,01/01/2024,12/31/2024
50100,MSPB-1,0.995689,,01/01/2024,12/31/2024
50101,MSPB-1,1.032134,,01/01/2024,12/31/2024
50102,MSPB-1,1.428968,,01/01/2024,12/31/2024
50103,MSPB-1,1.095927,,01/01/2024,12/31/2024
50104,MSPB-1,1.106696,,01/01/2024,12/31/2024
50107,MSPB-1,0.942417,,01/01/2024,12/31/2024
50108,MSPB-1,1.002448,,01/01/2024,12/31/2024
50110,MSPB-1,0.999705,,01/01/2024,12/31/2024
50112,MSPB-1,1.012479,,01/01/2024,12/31/2024
50113,MSPB-1,0.913797,,01/01/2024,12/31/2024
50115,MSPB-1,1.115051,,01/01/2024,12/31/2024
50116,MSPB-1,1.09121,,01/01/2024,12/31/2024
50118,MSPB-1,1.060251,,01/01/2024,12/31/2024
50121,MSPB-1,0.989881,,01/01/2024,12/31/2024
50122,MSPB-1,1.052173,,01/01/2024,12/31/2024
50124,MSPB-1,0.994593,,01/01/2024,12/31/2024
50125,MSPB-1,0.992614,,01/01/2024,12/31/2024
50126,MSPB-1,1.157501,,01/01/2024,12/31/2024
50127,MSPB-1,0.88946,,01/01/2024,12/31/2024
50128,MSPB-1,1.039329,,01/01/2024,12/31/2024
50129,MSPB-1,1.047291,,01/01/2024,12/31/2024
50131,MSPB-1,0.926197,,01/01/2024,12/31/2024
50132,MSPB-1,1.214377,,01/01/2024,12/31/2024
50133,MSPB-1,0.977126,,01/01/2024,12/31/2024
50135,MSPB-1,1.351409,,01/01/2024,12/31/2024
50136,MSPB-1,0.973917,,01/01/2024,12/31/2024
50137,MSPB-1,0.911591,,01/01/2024,12/31/2024
50138,MSPB-1,0.896746,,01/01/2024,12/31/2024
50139,MSPB-1,0.882986,,01/01/2024,12/31/2024
50140,MSPB-1,0.931158,,01/01/2024,12/31/2024
50145,MSPB-1,0.943868,,01/01/2024,12/31/2024
50149,MSPB-1,1.047498,,01/01/2024,12/31/2024
50150,MSPB-1,0.966669,,01/01/2024,12/31/2024
50152,MSPB-1,1.094027,,01/01/2024,12/31/2024
50158,MSPB-1,1.256122,,01/01/2024,12/31/2024
50159,MSPB-1,0.999124,,01/01/2024,12/31/2024
50167,MSPB-1,1.013217,,01/01/2024,12/31/2024
